image_path,artist_label,edge_density,laplacian_variance,shannon_entropy,hs_colorfulness,color_spread,color_entropy,temp_mean,temp_stddev,gray_mean,gray_stddev,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9
dataset/mery\danbooru_1343048_dbda99fe087cbcfea81ca56fc98a1e95.png,0,0.0994408945686901,1076.0609020904571,13.831218133733884,51.22329999852444,0.90625,2.927613305083126,-5.086078274760383,58.643166431604485,0.41907245,0.3100886,0.044952076677316294,0.07174121405750798,0.029648562300319488,0.10212460063897763,0.24039137380191694,0.1254552715654952,0.04226038338658147,0.09064696485623003,0.15555111821086262,0.09722843450479234
dataset/mery\danbooru_1591360_5eefb65d011ddd1682f245d091658df3.png,0,0.1383833922261484,2367.2271936142915,12.949174271533387,62.14812575389193,0.875,2.317950804762758,50.886916961130744,42.23761463811839,0.7164617,0.26626444,0.07122791519434629,0.09396643109540637,0.03419611307420495,0.07792402826855124,0.15636925795053003,0.08557420494699647,0.04280918727915194,0.10952296819787986,0.18573321554770317,0.1426766784452297
dataset/mery\danbooru_1607534_b7000bb2501a48d51e5e18d46325ee3a.png,0,0.11662757973733584,1826.3292121483055,10.822032622256256,48.95514336609745,0.8854166666666666,2.0863040206537398,-34.88602720450282,46.36346158603141,0.82536775,0.20127858,0.047917448405253284,0.06037054409005629,0.014484052532833021,0.08355534709193246,0.15972326454033772,0.09583020637898687,0.026960600375234522,0.09961069418386491,0.3096904315196998,0.10185741088180113
dataset/mery\danbooru_1612763_7e253af85a37035f9e4f8fc399282c73.png,0,0.10084362139917695,690.2181411405941,11.040954669217776,33.57869088701949,0.875,2.1146193376893847,-18.725375514403293,33.1688549763993,0.8749299,0.1122649,0.03974794238683128,0.05381687242798354,0.020699588477366256,0.08602880658436214,0.1731275720164609,0.1543724279835391,0.039274691358024694,0.08404835390946502,0.2399588477366255,0.10892489711934156
dataset/mery\danbooru_1621996_e23defd32b18486f321e42b2ac2ec2cf.png,0,0.080765,810.8899785596,11.070033345171616,29.37367853056421,0.84375,2.164450493281586,16.67059,25.35523888769144,0.786282,0.23817594,0.03746,0.05342,0.021415,0.079155,0.155805,0.11359,0.039905,0.07677,0.327785,0.094695
dataset/mery\danbooru_1626886_d9249f965ad1b2237037f35f6f1854a3.png,0,0.0875990675990676,1228.5727727178996,10.73676111882674,27.750141982141916,0.8125,2.2429783055470343,16.4052331002331,27.31064058503166,0.7132313,0.22788347,0.023956876456876455,0.03758158508158508,0.015926573426573425,0.08415501165501166,0.15055944055944057,0.11755244755244755,0.023344988344988344,0.07103729603729604,0.36363053613053614,0.11225524475524476
dataset/mery\danbooru_1631789_04eb1b2e4eccaa8a41e798087f8d0b8d.png,0,0.10125,2959.2357081134255,12.318623114115859,53.277595468291594,0.8854166666666666,2.4350049540159358,35.27466090425532,35.60262166049629,0.48976904,0.35546285,0.054674202127659575,0.07879654255319149,0.029461436170212765,0.09353058510638299,0.1728656914893617,0.10325797872340425,0.049082446808510635,0.09290558510638298,0.1656781914893617,0.1597473404255319
dataset/mery\danbooru_1633093_b0b62e443e33d427fa8f9a0ddd8ebc78.png,0,0.07853794642857143,569.3468770856273,12.582265660177312,32.52255617614234,0.8229166666666666,2.0291747478517017,25.567734375,22.36732233601096,0.9120858,0.12600765,0.03473214285714286,0.05872767857142857,0.036127232142857145,0.11297991071428572,0.2053794642857143,0.1136328125,0.0420703125,0.07719308035714285,0.223046875,0.09611049107142858
dataset/mery\danbooru_1639566_d5a557378e87129f4723213168ac1154.png,0,0.1215347721822542,5070.510098676419,10.46514103545384,76.77441703685378,0.8645833333333334,2.274102313636169,69.12580935251799,49.977792243859355,0.7145616,0.2807766,0.059508393285371705,0.0628537170263789,0.01011390887290168,0.054562350119904075,0.09592326139088729,0.07304556354916067,0.02011990407673861,0.1000779376498801,0.4105275779376499,0.1132673860911271
dataset/mery\danbooru_1639572_590ada3405b98a171fdc43062e5d4ea3.png,0,0.042478112840466924,2688.973589494163,4.663926050106287,25.64226555852116,0.875,1.1478770366308977,9.602424610894941,22.89456070723553,0.17286702,0.3251646,0.013105544747081713,0.02236624513618677,0.007726167315175097,0.02683852140077821,0.08673151750972763,0.03476896887159533,0.010632295719844358,0.024085603112840467,0.7471887159533074,0.026556420233463034
